"","param","celltype","counts"
"657","RU685_N","AT1",2
"658","S4ECX8ng_LUNG","AT1",3
"659","sample10","AT1",0
"660","sample11","AT1",0
"661","sample4","AT1",1
"662","sample8","AT1",1
"663","sample9","AT1",0
"664","SHMI57ng_LUNG","AT1",3
"665","Travaglini_Krasnow_2020_distal 1a","AT1",0
"666","Travaglini_Krasnow_2020_distal 1b","AT1",1
"667","Travaglini_Krasnow_2020_distal 2","AT1",1
"668","Travaglini_Krasnow_2020_distal 3","AT1",2
"669","Travaglini_Krasnow_2020_medial 2","AT1",1
"670","Travaglini_Krasnow_2020_medial 3","AT1",1
"671","Travaglini_Krasnow_2020_proximal 3","AT1",0
"672","Vieira_Teichmann_2019_Dropseq_1","AT1",3
"673","Vieira_Teichmann_2019_Dropseq_2","AT1",0
"674","ZM3KACng_LUNG","AT1",5
"675","101CV0ng_LUNG","AT2",4
"676","16E0F2ng_LUNG","AT2",4
"677","1A1DFBng_LUNG","AT2",7
"678","343B_0h","AT2",7
"679","343B_24h","AT2",1
"680","343B_72h","AT2",8
"681","356C_0h","AT2",2
"682","356C_12h","AT2",2
"683","356C_24h","AT2",3
"684","356C_72h","AT2",1
"685","367C_0h","AT2",1
"686","367C_12h","AT2",1
"687","367C_24h","AT2",0
"688","367C_72h","AT2",0
"689","368C_0h","AT2",0
"690","368C_12h","AT2",0
"691","368C_24h","AT2",0
"692","368C_72h","AT2",0
"693","390C_0h","AT2",3
"694","390C_12h","AT2",6
"695","390C_24h","AT2",2
"696","390C_72h","AT2",2
"697","4951STDY7472265_LUNG","AT2",0
"698","4951STDY7472266_LUNG","AT2",0
"699","4951STDY7472267_LUNG","AT2",0
"700","4951STDY7487591_LUNG","AT2",0
"701","4951STDY7487592_LUNG","AT2",0
"702","4951STDY7487593_LUNG","AT2",0
"703","9JQK55ng_LUNG","AT2",13
"704","A9LCTZng_LUNG","AT2",9
